#3752 - Astraea
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 3752
approved: False

level: 1
 type: PASSIVE
 | (38848:129) 超根性50％
 | Damage which would reduce HP from above 50% to below 50% is nullified
 type: PREEMPT
 | (38810:83) 耀星の守り + シャイニングオーラ + 耀星の慈悲 + 耀星の教示
 | Voids status ailments for 999 turns + Delay active skills by 15 turns + Haste both leaders' skills by 5~10 turns + For 1 turn, 5% ATK for 5 random cards, Deal 50% damage
 group:
 | group:
 | condition: always turn 7
   | (38815:83) 耀星の聖域 + 耀星の眩惑 + スターバリアー
   | No skyfall for 1 turn + Movetime 50% for 1 turn + Absorb damage when combos <= 9 for 1 turn
 | group:
   | group:
   | condition: turn 1 while HP > 49
     | condition: 33% chance
     | (38824:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay all cards' skills by 4~7 turns + Absorb Light and Dark damage for 1 turn + For 1 turn, 5% ATK for 4 random cards, Deal 100% damage
     | condition: 50% chance
     | (38828:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay random sub's skills by 5~8 turns + Absorb Fire and Water damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
     | (38832:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay both leaders' skills by 5~10 turns + Absorb Water damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
   | group:
   | condition: turn 2 while HP > 49
     | condition: 33% chance
     | (38836:83) 耀星の慈悲 + シャインヘイズ + 耀星の教示
     | Haste both leaders' skills by 5~10 turns + Absorb Light and Dark damage for 1 turn + For 1 turn, 5% ATK for 4 random cards, Deal 100% damage
     | condition: 50% chance
     | (38840:83) 耀星の慈悲 + シャインヘイズ + 耀星の教示
     | Haste random sub's skills by 3~7 turns + Absorb Fire and Wood damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
     | (38844:83) 耀星の慈悲 + シャインヘイズ + 耀星の教示
     | Haste all cards' skills by 2~6 turns + Absorb Wood damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
   | group:
   | condition: turn 3 while HP > 49
     | condition: 33% chance
     | (38824:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay all cards' skills by 4~7 turns + Absorb Light and Dark damage for 1 turn + For 1 turn, 5% ATK for 4 random cards, Deal 100% damage
     | condition: 50% chance
     | (38828:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay random sub's skills by 5~8 turns + Absorb Fire and Water damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
     | (38832:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay both leaders' skills by 5~10 turns + Absorb Water damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
   | group:
   | condition: turn 4 while HP > 49
     | condition: 33% chance
     | (38836:83) 耀星の慈悲 + シャインヘイズ + 耀星の教示
     | Haste both leaders' skills by 5~10 turns + Absorb Light and Dark damage for 1 turn + For 1 turn, 5% ATK for 4 random cards, Deal 100% damage
     | condition: 50% chance
     | (38840:83) 耀星の慈悲 + シャインヘイズ + 耀星の教示
     | Haste random sub's skills by 3~7 turns + Absorb Fire and Wood damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
     | (38844:83) 耀星の慈悲 + シャインヘイズ + 耀星の教示
     | Haste all cards' skills by 2~6 turns + Absorb Wood damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
   | group:
   | condition: turn 5 while HP > 49
     | condition: 33% chance
     | (38824:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay all cards' skills by 4~7 turns + Absorb Light and Dark damage for 1 turn + For 1 turn, 5% ATK for 4 random cards, Deal 100% damage
     | condition: 50% chance
     | (38828:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay random sub's skills by 5~8 turns + Absorb Fire and Water damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
     | (38832:83) シャイニングオーラ + シャインヘイズ + 耀星の教示
     | Delay both leaders' skills by 5~10 turns + Absorb Water damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
   | group:
   | condition: turn 6 while HP > 49
     | condition: 33% chance
     | (38836:83) 耀星の慈悲 + シャインヘイズ + 耀星の教示
     | Haste both leaders' skills by 5~10 turns + Absorb Light and Dark damage for 1 turn + For 1 turn, 5% ATK for 4 random cards, Deal 100% damage
     | condition: 50% chance
     | (38840:83) 耀星の慈悲 + シャインヘイズ + 耀星の教示
     | Haste random sub's skills by 3~7 turns + Absorb Fire and Wood damage for 1 turn + For 1 turn, 5% ATK for 5 random cards, Deal 100% damage
